age,workclass,education,marital_status,occupation,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
39,0,1,1,0,0,1,2174,0,40,1,0
50,1,1,0,2,0,1,0,0,13,1,0
38,2,0,1,0,0,1,0,0,40,1,0
53,2,0,0,0,1,1,0,0,40,1,0
28,2,1,0,2,1,0,0,0,40,0,0
37,2,2,0,2,0,0,0,0,40,1,0
49,2,0,0,0,1,0,0,0,16,0,0
52,1,0,0,2,0,1,0,0,45,1,1
31,2,2,1,2,0,0,14084,0,50,1,1
42,2,1,0,2,0,1,5178,0,40,1,1
37,2,1,0,2,1,1,0,0,80,1,1
30,0,1,0,2,2,1,0,0,40,0,1
23,2,1,1,0,0,0,0,0,30,1,0
32,2,1,1,1,1,1,0,0,50,1,0
40,2,1,0,1,2,1,0,0,40,0,1
34,2,0,0,1,2,1,0,0,45,0,0
25,1,0,1,0,0,1,0,0,35,1,0
32,2,0,1,0,0,1,0,0,40,1,0
38,2,0,0,1,0,1,0,0,50,1,0
43,1,2,1,2,0,0,0,0,45,1,1
40,2,2,0,2,0,1,0,0,60,1,1
54,2,0,1,0,1,0,0,0,20,1,0
35,0,0,0,0,1,1,0,0,40,1,0
43,2,0,0,1,0,1,0,2042,40,1,0
59,2,0,1,1,0,0,0,0,40,1,0
56,0,1,0,1,0,1,0,0,40,1,1
19,2,0,1,1,0,1,0,0,40,1,0
54,-1,1,0,-1,2,1,0,0,60,0,1
39,2,0,1,2,0,1,0,0,80,1,0
49,2,0,0,1,0,1,0,0,40,1,0
23,0,1,1,1,0,1,0,0,52,1,0
20,2,1,1,1,1,1,0,0,44,1,0
45,2,1,1,2,0,1,0,1408,40,1,0
30,0,1,0,0,0,1,0,0,40,1,0
22,0,1,0,0,1,1,0,0,15,1,0
48,2,0,1,0,0,1,0,0,40,0,0
21,2,1,1,0,0,1,0,0,40,1,0
19,2,0,0,0,0,0,0,0,25,1,0
31,2,1,0,1,0,1,0,0,38,0,1
48,1,1,0,2,0,1,0,0,40,1,0
31,2,0,0,0,0,1,0,0,43,1,0
53,1,1,0,2,0,1,0,0,40,1,0
24,2,1,0,1,0,1,0,0,50,1,0
49,2,0,1,0,0,0,0,0,40,1,0
25,2,0,1,0,0,1,0,0,35,1,0
57,0,1,0,2,1,1,0,0,40,1,1
53,2,0,0,0,0,1,0,0,38,1,0
44,2,2,1,2,0,0,0,0,40,1,0
41,0,1,0,1,0,1,0,0,40,1,0
29,2,1,1,2,0,1,0,0,43,1,0
25,2,1,0,2,2,0,0,0,40,1,0
18,2,0,1,0,0,0,0,0,30,0,0
47,2,2,0,2,0,0,0,1902,60,0,1
50,0,1,1,2,0,1,0,0,55,1,1
47,1,0,1,2,0,1,0,0,60,1,0
43,2,1,0,1,0,1,0,0,40,1,1
46,2,0,0,0,0,1,0,0,40,0,0
35,2,1,0,0,0,1,0,0,40,0,0
41,2,0,0,0,0,1,0,0,48,1,0
30,2,0,0,0,0,1,5013,0,40,1,0
30,2,1,0,1,0,1,2407,0,40,1,0
32,-1,0,0,-1,0,1,0,0,40,0,0
48,2,0,0,1,0,1,0,0,40,1,0
42,2,2,0,2,0,1,0,0,45,1,1
29,2,1,1,1,0,1,0,0,58,1,0
36,2,0,0,1,0,1,0,0,40,1,0
28,2,1,1,0,0,0,0,0,40,1,0
53,2,0,0,0,0,0,0,0,40,1,1
49,1,1,0,2,0,1,0,0,50,1,1
25,-1,1,1,-1,0,1,0,0,40,1,0
19,2,1,1,2,0,1,0,0,32,1,0
31,2,1,1,1,1,0,0,0,40,1,0
29,1,1,0,1,0,1,0,0,70,1,1
23,2,1,1,0,0,1,0,0,40,1,0
79,2,1,0,2,0,1,0,0,20,1,0
27,2,0,1,0,0,1,0,0,40,0,0
40,2,1,0,0,0,1,0,0,40,1,0
67,-1,0,0,-1,0,1,0,0,2,1,0
18,2,0,1,0,0,0,0,0,22,1,0
31,0,0,0,0,0,1,0,0,40,1,0
18,2,0,1,1,0,1,0,0,30,1,0
52,2,1,0,0,0,1,0,0,40,0,0
46,2,0,0,0,0,0,0,0,40,1,0
59,2,0,0,1,0,1,0,0,48,1,0
44,2,0,1,1,0,0,14344,0,40,1,1
53,2,0,1,1,0,0,0,0,35,1,0
49,0,0,0,1,0,1,0,0,40,1,1
33,2,2,0,2,0,1,0,0,50,1,0
30,2,0,1,1,0,1,0,0,40,1,0
43,0,2,1,2,0,0,0,0,50,1,1
57,2,1,0,2,0,1,0,0,40,1,0
37,2,1,1,1,0,0,0,0,40,1,0
28,2,1,1,0,1,0,0,0,25,1,0
30,2,0,0,1,2,0,0,1573,35,0,0
34,0,1,0,1,0,1,0,0,40,1,1
29,0,1,1,0,0,1,0,0,50,1,0
48,1,2,0,2,0,1,0,1902,60,1,1
37,2,1,0,1,0,1,0,0,48,1,1
48,2,1,1,2,0,0,0,0,40,0,0
32,0,0,1,0,1,1,0,0,40,1,0
76,2,2,0,2,0,1,0,0,40,1,1
44,2,1,0,2,0,1,15024,0,60,1,1
47,1,2,1,2,0,0,0,0,50,1,0
20,2,1,1,1,0,0,0,0,40,1,0
29,2,0,1,1,0,1,0,0,40,1,0
32,1,0,0,1,0,1,7688,0,40,1,1
17,-1,0,1,-1,0,0,34095,0,32,1,0
30,2,0,1,0,0,1,0,0,40,1,0
31,0,0,1,0,0,0,0,0,40,1,0
42,2,0,0,0,0,1,0,0,40,1,0
24,2,1,1,1,0,1,0,0,40,1,0
38,2,2,0,2,0,1,0,0,40,1,1
56,1,0,0,0,0,1,0,1887,50,0,1
28,2,1,0,1,0,0,4064,0,25,1,0
36,2,0,1,0,0,0,0,0,40,1,0
53,2,0,0,0,0,1,0,0,50,1,0
56,1,1,0,1,0,1,0,0,50,1,0
49,0,1,0,1,1,1,0,0,40,1,1
55,2,1,0,1,0,1,0,0,56,1,0
22,2,0,1,1,0,1,0,0,41,1,0
21,2,1,1,0,0,0,0,0,40,1,0
40,2,1,0,2,0,1,0,0,60,1,0
30,2,1,1,2,1,1,0,0,40,0,0
29,0,1,0,2,0,1,0,0,50,1,1
19,2,1,1,0,1,1,0,0,35,1,0
47,2,1,0,2,0,0,0,0,40,1,1
20,2,1,1,0,0,0,0,1719,28,1,0
31,2,1,0,0,0,1,0,0,40,1,1
35,-1,0,0,-1,0,1,0,0,40,1,0
39,2,1,1,1,0,1,0,0,40,1,0
28,2,1,1,1,0,0,0,0,60,1,0
24,2,0,1,0,0,0,0,1762,40,1,0
38,1,0,0,1,0,1,4386,0,35,1,0
37,2,1,0,1,0,1,0,0,50,1,0
46,2,1,1,1,1,0,0,0,36,1,0
38,0,2,0,2,0,1,0,0,40,0,1
43,1,0,0,1,0,1,0,0,60,1,0
27,2,1,0,0,0,0,0,0,35,1,0
20,2,1,1,1,0,1,0,0,20,1,0
49,2,1,0,1,2,1,0,0,40,1,1
61,1,0,0,1,0,1,0,0,40,1,0
27,2,1,1,1,0,0,0,0,40,1,0
19,2,1,1,0,0,1,0,0,30,0,0
45,2,1,1,2,0,0,0,1564,40,1,1
70,2,1,1,1,0,1,0,0,40,1,0
31,2,0,1,1,1,0,0,0,30,1,0
22,2,1,0,0,0,1,0,0,24,1,0
36,2,0,1,0,0,0,0,0,24,1,0
64,2,0,0,1,0,1,0,2179,40,1,0
43,-1,1,1,-1,0,0,0,0,40,1,0
47,0,1,1,0,0,0,0,0,38,0,0
34,2,0,1,0,0,0,0,0,40,1,0
33,2,1,1,2,2,0,0,0,40,0,0
21,2,0,1,1,0,1,0,0,35,1,0
52,-1,0,1,-1,0,1,0,0,45,1,1
48,2,0,0,1,0,1,0,0,46,1,0
23,2,1,1,0,0,1,0,0,40,1,0
71,1,1,1,1,1,1,0,1816,2,1,0
29,2,0,1,1,0,1,0,0,60,1,0
42,2,1,1,0,1,1,0,0,50,1,0
68,-1,0,1,-1,0,0,0,0,20,1,0
25,2,0,1,0,0,0,0,0,40,1,0
44,1,2,1,2,2,0,0,0,40,1,0
28,2,0,1,2,2,0,0,0,40,0,0
45,1,2,0,1,0,1,0,0,40,1,1
36,2,1,1,0,0,0,0,0,40,0,0
39,0,1,1,2,0,1,0,0,42,1,0
46,0,2,1,1,0,1,0,0,40,1,0
18,2,0,1,0,0,1,0,0,16,1,0
66,0,1,1,2,0,0,0,0,20,1,0
27,2,0,1,0,0,1,0,1980,40,1,0
28,0,0,0,1,0,1,0,0,40,1,0
51,2,1,0,1,0,1,0,1977,40,1,1
27,2,1,1,1,0,1,0,0,50,1,0
28,0,1,0,2,0,1,0,0,40,1,1
27,2,0,0,1,0,0,0,0,25,1,0
21,2,0,1,1,1,1,0,0,40,1,0
34,2,0,1,0,1,1,0,0,40,1,0
18,2,0,1,0,0,1,0,0,12,1,0
33,2,1,0,2,0,1,0,0,65,1,0
44,0,1,0,2,1,1,0,0,38,1,1
43,2,1,1,0,0,0,0,0,40,1,0
30,2,1,1,1,1,1,0,0,45,1,0
40,2,0,0,0,0,1,0,0,40,0,1
37,0,1,0,0,0,1,0,0,42,1,1
34,2,0,0,0,1,1,0,0,40,1,0
41,1,1,1,2,0,0,0,0,40,1,0
53,-1,1,1,-1,0,0,0,0,50,1,0
31,2,2,0,2,0,0,0,0,50,1,0
58,0,2,0,2,0,1,0,0,1,1,1
38,2,1,1,0,1,0,0,0,28,1,0
24,2,1,0,0,0,1,0,0,40,1,0
41,0,1,0,1,1,1,0,0,40,1,0
47,2,1,0,1,0,1,0,0,45,1,0
41,0,1,0,1,0,1,0,0,24,1,0
23,2,0,0,1,0,1,0,0,40,0,0
36,2,1,1,1,0,1,0,0,40,1,0
40,0,2,1,2,0,0,14084,0,55,1,1
35,2,2,0,2,0,1,7298,0,40,1,1
24,1,0,1,1,0,1,0,0,40,1,0
26,2,2,1,2,0,0,0,1876,40,1,0
19,-1,0,1,-1,0,1,0,0,40,0,0
51,2,1,0,2,0,1,0,0,50,1,1
42,0,1,1,2,0,0,0,1340,40,1,0
37,0,0,1,0,0,0,0,0,35,1,0
18,2,0,1,1,0,0,0,0,40,1,0
36,2,1,0,0,1,1,7298,0,36,1,1
35,2,0,1,1,0,1,0,0,60,1,0
58,1,0,0,1,0,0,15024,0,35,1,1
17,2,0,1,1,0,0,0,0,12,1,0
44,0,0,0,1,1,1,0,0,40,1,0
37,2,0,0,1,0,1,0,0,40,1,1
35,2,1,1,1,2,0,0,0,40,1,0
60,2,0,0,1,2,1,0,0,40,1,0
54,1,0,0,0,0,1,0,0,40,1,1
